0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:58:33 +0900] "GET /JSP_project/img/game01_title.png HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:58:33 +0900] "GET /JSP_project/img/game01_title.png HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:58:33 +0900] "GET /JSP_project/img/right-arrow.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:58:33 +0900] "GET /JSP_project/img/left-arrow.png HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:59:20 +0900] "GET /JSP_project/view/mainView.jsp HTTP/1.1" 200 5141
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:59:20 +0900] "GET /JSP_project/view/JSP_project/src/webapp/view/img/title.png HTTP/1.1" 404 893
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:59:20 +0900] "GET /JSP_project/img/game01_title.png HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:59:20 +0900] "GET /JSP_project/img/right-arrow.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:59:20 +0900] "GET /JSP_project/img/left-arrow.png HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:59:21 +0900] "GET /JSP_project/view/mainView.jsp HTTP/1.1" 200 5141
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:59:21 +0900] "GET /JSP_project/img/game01_title.png HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:59:21 +0900] "GET /JSP_project/view/JSP_project/src/webapp/view/img/title.png HTTP/1.1" 404 893
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:59:21 +0900] "GET /JSP_project/img/left-arrow.png HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:59:21 +0900] "GET /JSP_project/img/right-arrow.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:59:21 +0900] "GET /JSP_project/view/mainView.jsp HTTP/1.1" 200 5141
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:59:21 +0900] "GET /JSP_project/img/game01_title.png HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:59:21 +0900] "GET /JSP_project/view/JSP_project/src/webapp/view/img/title.png HTTP/1.1" 404 893
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:59:21 +0900] "GET /JSP_project/img/right-arrow.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:59:21 +0900] "GET /JSP_project/img/left-arrow.png HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:59:21 +0900] "GET /JSP_project/view/mainView.jsp HTTP/1.1" 200 5141
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:59:21 +0900] "GET /JSP_project/img/game01_title.png HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:59:21 +0900] "GET /JSP_project/view/JSP_project/src/webapp/view/img/title.png HTTP/1.1" 404 893
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:59:21 +0900] "GET /JSP_project/img/left-arrow.png HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:59:21 +0900] "GET /JSP_project/img/right-arrow.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:59:21 +0900] "GET /JSP_project/view/mainView.jsp HTTP/1.1" 200 5141
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:59:21 +0900] "GET /JSP_project/view/JSP_project/src/webapp/view/img/title.png HTTP/1.1" 404 893
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:59:21 +0900] "GET /JSP_project/img/game01_title.png HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:59:21 +0900] "GET /JSP_project/img/left-arrow.png HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:59:21 +0900] "GET /JSP_project/img/right-arrow.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:59:22 +0900] "GET /JSP_project/view/mainView.jsp HTTP/1.1" 200 5141
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:59:22 +0900] "GET /JSP_project/img/left-arrow.png HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:59:22 +0900] "GET /JSP_project/img/game01_title.png HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:59:22 +0900] "GET /JSP_project/view/JSP_project/src/webapp/view/img/title.png HTTP/1.1" 404 893
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:59:22 +0900] "GET /JSP_project/img/right-arrow.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:59:34 +0900] "GET /JSP_project/view/html/Header_login.html HTTP/1.1" 200 2069
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:59:34 +0900] "GET /JSP_project/view/html/JSP_project/src/webapp/view/img/title.png HTTP/1.1" 404 902
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:59:36 +0900] "GET /JSP_project/view/mainView.jsp HTTP/1.1" 200 5141
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:59:36 +0900] "GET /JSP_project/view/JSP_project/src/webapp/view/img/title.png HTTP/1.1" 404 893
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:59:36 +0900] "GET /JSP_project/img/game01_title.png HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:59:36 +0900] "GET /JSP_project/img/right-arrow.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:59:36 +0900] "GET /JSP_project/img/left-arrow.png HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:59:36 +0900] "GET /JSP_project/view/mainView.jsp HTTP/1.1" 200 5141
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:59:36 +0900] "GET /JSP_project/view/JSP_project/src/webapp/view/img/title.png HTTP/1.1" 404 893
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:59:36 +0900] "GET /JSP_project/img/game01_title.png HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:59:36 +0900] "GET /JSP_project/img/right-arrow.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:59:36 +0900] "GET /JSP_project/img/left-arrow.png HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:59:36 +0900] "GET /JSP_project/view/mainView.jsp HTTP/1.1" 200 5141
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:59:36 +0900] "GET /JSP_project/view/JSP_project/src/webapp/view/img/title.png HTTP/1.1" 404 893
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:59:36 +0900] "GET /JSP_project/img/game01_title.png HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:59:36 +0900] "GET /JSP_project/img/left-arrow.png HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:59:36 +0900] "GET /JSP_project/img/right-arrow.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [07/Dec/2022:10:00:43 +0900] "GET /JSP_project/view/html/Header_login.html HTTP/1.1" 200 4782
0:0:0:0:0:0:0:1 - - [07/Dec/2022:10:00:43 +0900] "GET /JSP_project/view/html/JSP_project/src/webapp/view/img/title.png HTTP/1.1" 404 902
0:0:0:0:0:0:0:1 - - [07/Dec/2022:10:00:43 +0900] "GET /JSP_project/view/img/game01_title.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2022:10:00:43 +0900] "GET /JSP_project/view/img/right-arrow.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2022:10:00:43 +0900] "GET /JSP_project/view/img/left-arrow.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2022:10:01:13 +0900] "GET /JSP_project/view/html/Header_login.html HTTP/1.1" 200 4757
0:0:0:0:0:0:0:1 - - [07/Dec/2022:10:02:06 +0900] "GET /JSP_project/view/html/Section.html HTTP/1.1" 200 2908
0:0:0:0:0:0:0:1 - - [07/Dec/2022:10:02:06 +0900] "GET /JSP_project/view/img/right-arrow.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2022:10:02:06 +0900] "GET /JSP_project/view/img/left-arrow.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2022:10:02:30 +0900] "GET /JSP_project/view/html/Section.html HTTP/1.1" 200 2908
